"title",sourceUrl,city,state,providerWebsite,description,lat,lng,amenities,species,images,v1_durationHours,v1_isPrivate,v1_priceFromDollars,v1_priceUnit,v2_durationHours,v2_isPrivate,v2_priceFromDollars,v2_priceUnit
Bight Sportfishing,https://www.fishermanslanding.com/boats/bightsportfishing.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Constitution,https://www.fishermanslanding.com/boats/constitution.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Dolphin,https://www.fishermanslanding.com/boats/dolphin.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Fortune,https://www.fishermanslanding.com/boats/fortune.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Islander,https://www.fishermanslanding.com/boats/islander.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Liberty,https://www.fishermanslanding.com/boats/liberty.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Lucky B Sportfishing,https://www.fishermanslanding.com/boats/luckybsportfishing.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Pacific Dawn,https://www.fishermanslanding.com/boats/pacificdawn.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Pacific Queen,https://www.fishermanslanding.com/boats/pacificqueen.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Pegasus,https://www.fishermanslanding.com/boats/pegasus.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Tomahawk,https://www.fishermanslanding.com/boats/tomahawk.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Tradtion,https://www.fishermanslanding.com/boats/tradition.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Excel,https://www.fishermanslanding.com/boats/excel.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Royal Polaris,https://www.fishermanslanding.com/boats/royalpolaris.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Royal Star,https://www.fishermanslanding.com/boats/royalstar.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Searcher,https://www.fishermanslanding.com/boats/searcher.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Shogun,https://www.fishermanslanding.com/boats/shogun.php,San Diego,CA,https://www.fishermanslanding.com/,,,,,,,,,,,,,,
Alicia,https://www.hmlanding.com/boat/alicia,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Daiwa Pacific,https://www.hmlanding.com/boat/daiwa-pacific,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Excalibur,https://www.hmlanding.com/boat/excalibur,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Legend,https://www.hmlanding.com/boat/legend,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Grande,https://www.hmlanding.com/boat/grande,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Horizon,https://www.hmlanding.com/boat/horizon,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Malihini,https://www.hmlanding.com/boat/malihini,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Ocean Odyssey,https://www.hmlanding.com/boat/ocean-odyssey,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Old Glory,https://www.hmlanding.com/boat/old-glory,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Poseidon,https://www.hmlanding.com/boat/poseidon,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Premier,https://www.hmlanding.com/boat/premier,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Producer,https://www.hmlanding.com/boat/producer,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Ranger 85,https://www.hmlanding.com/boat/ranger-85,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Red Rooster III,https://www.hmlanding.com/boat/red-rooster-iii,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Relentless,https://www.hmlanding.com/boat/relentless,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Sea Adventure 80,https://www.hmlanding.com/boat/sea-adventure-80,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Top Gun 80,https://www.hmlanding.com/boat/top-gun-80,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Spirit of Adventure,https://www.hmlanding.com/boat/spirit-of-adventure,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Vendetta 2,https://www.hmlanding.com/boat/vendetta2,San Diego,CA,https://www.hmlanding.com/,,,,,,,,,,,,,,
Daily Double,https://www.pointlomasportfishing.com/fleet/dailydouble.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
El Capitan,https://www.pointlomasportfishing.com/fleet/elcapitan.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Mission Belle,https://www.pointlomasportfishing.com/fleet/missionbelle.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
New Lo-An,https://www.pointlomasportfishing.com/fleet/newloan.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Oceanside 95,https://www.pointlomasportfishing.com/fleet/oceanside95.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Point Loma,https://www.pointlomasportfishing.com/fleet/pointloma.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Success,https://www.pointlomasportfishing.com/fleet/success.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
American Angler,https://www.pointlomasportfishing.com/fleet/americanangler.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Independence,https://www.pointlomasportfishing.com/fleet/independence.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Intrepid,https://www.pointlomasportfishing.com/fleet/intrepid.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Vagabond,https://www.pointlomasportfishing.com/fleet/vagabond.php,San Diego,CA,https://www.pointlomasportfishing.com/,,,,,,,,,,,,,,
Apollo,https://www.seaforthlanding.com/boats/apollo.php,San Diego,CA,https://www.seaforthlanding.com/,,,,,,,,,,,,,,
